id,data,polygonId,layerId
1,"Stand age 25, DBH 15.2, Height 18.5, BA 35.0","POLY_001","L1"
2,"Stand age 30, DBH 18.1, Height 22.3, BA 42.5","POLY_002","L1"
3,"Stand age 45, DBH 24.7, Height 28.1, BA 55.2","POLY_003","L1"
4,"Stand age 35, DBH 20.5, Height 24.8, BA 48.3","POLY_004","L1"
5,"Stand age 40, DBH 22.9, Height 26.7, BA 51.8","POLY_005","L1"
6,"Stand age 28, DBH 16.8, Height 20.4, BA 38.7","POLY_006","L2"
7,"Stand age 55, DBH 28.3, Height 32.6, BA 62.1","POLY_007","L1"
8,"Stand age 32, DBH 19.4, Height 23.5, BA 45.6","POLY_008","L2"
9,"Stand age 48, DBH 26.1, Height 30.2, BA 58.9","POLY_009","L1"
10,"Stand age 38, DBH 21.7, Height 25.9, BA 49.4","POLY_010","L2"
11,"Stand age 42, DBH 23.8, Height 27.3, BA 53.2","POLY_011","L1"
12,"Stand age 29, DBH 17.5, Height 21.1, BA 40.1","POLY_012","L2"
13,"Stand age 52, DBH 27.4, Height 31.8, BA 60.5","POLY_013","L1"
14,"Stand age 36, DBH 20.9, Height 25.2, BA 47.7","POLY_014","L2"
15,"Stand age 44, DBH 25.3, Height 29.4, BA 57.3","POLY_015","L1"
16,"Stand age 31, DBH 18.6, Height 22.8, BA 43.9","POLY_016","L2"
17,"Stand age 49, DBH 26.8, Height 31.1, BA 59.6","POLY_017","L1"
18,"Stand age 33, DBH 19.8, Height 24.1, BA 46.2","POLY_018","L2"
19,"Stand age 46, DBH 25.7, Height 29.8, BA 56.7","POLY_019","L1"
20,"Stand age 37, DBH 21.3, Height 25.6, BA 48.8","POLY_020","L2"
21,"Stand age 41, DBH 23.4, Height 26.9, BA 52.6","POLY_021","L1"
22,"Stand age 27, DBH 16.2, Height 19.7, BA 37.4","POLY_022","L2"
23,"Stand age 53, DBH 27.9, Height 32.3, BA 61.8","POLY_023","L1"
24,"Stand age 34, DBH 20.1, Height 24.4, BA 46.9","POLY_024","L2"
25,"Stand age 43, DBH 24.5, Height 28.7, BA 55.9","POLY_025","L1"
